class	verdict	registration_name	image_occurrences	nul_terminated_runs	zh_registers_it	ledger_rows	claimed_rvas
DieModule	UNREGISTERED_NAMED	DieModule	1	1	no	1	0x00114D70
DieModuleData	UNREGISTERED_NAMED	Die	31	12	no	1	0x00122EB0
DominateEnemySpecialPower	REGISTERED	DominateEnemySpecialPower	1	1	no	2	0x00122140 0x001221C0
DozerAIUpdate	REGISTERED	DozerAIUpdate	1	1	yes	2	0x00117FA0 0x00118020
DualWeaponBehavior	REGISTERED	DualWeaponBehavior	1	1	no	2	0x00115020 0x001150A0
DumbProjectileBehavior	ABSENT	DumbProjectileBehavior	0	0	yes	0	
DynamicGeometryInfoUpdate	ABSENT	DynamicGeometryInfoUpdate	0	0	yes	1	0x001145D0
DynamicPortalBehaviour	REGISTERED	DynamicPortalBehaviour	1	1	no	1	0x001156B0
DynamicShroudClearingRangeUpdate	REGISTERED	DynamicShroudClearingRangeUpdate	1	1	yes	2	0x001180B0 0x00118130
EMPUpdate	ABSENT	EMPUpdate	0	0	yes	0	
EjectPilotDie	ABSENT	EjectPilotDie	0	0	yes	1	0x001145D0
ElvenWoodSpecialPower	REGISTERED	ElvenWoodSpecialPower	2	1	no	2	0x001202C0 0x00120340
EmotionTrackerUpdate	REGISTERED	EmotionTrackerUpdate	2	1	no	2	0x0011CE60 0x0011CEE0
EnemyNearUpdate	ABSENT	EnemyNearUpdate	0	0	yes	0	
EnragedBehavior	REGISTERED	EnragedBehavior	1	1	no	2	0x00114A40 0x00114AD0
EntEnragedUpdate	REGISTERED	EntEnragedUpdate	1	1	no	1	0x0011CF80
EvacuateDamage	REGISTERED	EvacuateDamage	1	1	no	2	0x0011EA10 0x0011EA90
ExperienceLevelCreate	REGISTERED	ExperienceLevelCreate	1	1	no	2	0x0011E5F0 0x0011E670
ExperienceScalarUpgrade	REGISTERED	ExperienceScalarUpgrade	1	1	yes	2	0x0011DAF0 0x0011DB70
FXListDie	REGISTERED	FXListDie	1	1	yes	2	0x00117A20 0x00123590
FadeAndDieOrnamentUpdate	REGISTERED	FadeAndDieOrnamentUpdate	1	1	no	2	0x0011B5B0 0x00125BD0
FellBeastSwoopPower	REGISTERED	FellBeastSwoopPower	1	1	no	2	0x001210D0 0x00121150
FireOCLAfterWeaponCooldownUpdate	ABSENT	FireOCLAfterWeaponCooldownUpdate	0	0	yes	0	
FireSpreadUpdate	REGISTERED	FireSpreadUpdate	2	1	yes	2	0x001181C0 0x00118240
FireWeaponCollide	REGISTERED	FireWeaponCollide	1	1	yes	2	0x0011EB20 0x00127D00
FireWeaponPower	ABSENT	FireWeaponPower	0	0	yes	0	
FireWeaponUpdate	REGISTERED	FireWeaponUpdate	1	1	yes	2	0x001182D0 0x00118350
FireWeaponWhenDamagedBehavior	REGISTERED	FireWeaponWhenDamagedBehavior	1	1	yes	2	0x00116F30 0x00117420
FireWeaponWhenDamagedBehaviorModuleData	REGISTERED	FireWeaponWhenDamagedBehavior	1	1	yes	1	0x001298A0
FireWeaponWhenDeadBehavior	REGISTERED	FireWeaponWhenDeadBehavior	1	1	yes	2	0x00116FC0 0x0012A250
FirestormDynamicGeometryInfoUpdate	ABSENT	FirestormDynamicGeometryInfoUpdate	0	0	yes	0	
FlammableUpdate	REGISTERED	FlammableUpdate	1	1	yes	2	0x001183E0 0x00118460
FlightDeckBehavior	ABSENT	FlightDeckBehavior	0	0	yes	1	0x0011FAD0
FloatUpdate	REGISTERED	FloatUpdate	1	1	yes	2	0x00118500 0x00118580
FoundationAIUpdate	REGISTERED	FoundationAIUpdate	2	1	no	2	0x001143B0 0x00122E30
FreeLifeBody	REGISTERED	FreeLifeBody	1	1	no	1	0x0011F940
FreezingRainSpecialPower	REGISTERED	FreezingRainSpecialPower	1	1	no	2	0x00120810 0x00120890
GarrisonContain	REGISTERED	GarrisonContain	3	2	yes	2	0x00116040 0x00116250
GateOpenAndCloseBehavior	REGISTERED	GateOpenAndCloseBehavior	1	1	no	2	0x00119DE0 0x00123AB0
GateProxyBehavior	REGISTERED	GateProxyBehavior	1	1	no	1	0x00123BF0
GenerateMinefieldBehavior	ABSENT	GenerateMinefieldBehavior	0	0	yes	1	0x0011DA50
GeometryUpgrade	REGISTERED	GeometryUpgrade	1	1	no	2	0x0011DF20 0x0011DFA0
GettingBuiltBehavior	REGISTERED	GettingBuiltBehavior	1	1	no	1	0x00114320
GiantBirdAIUpdate	REGISTERED	GiantBirdAIUpdate	2	1	no	2	0x00118910 0x00118990
GiantBirdSlowDeathBehavior	REGISTERED	GiantBirdSlowDeathBehavior	1	1	no	2	0x001157D0 0x00115850
GiveUpgradeUpdate	REGISTERED	GiveUpgradeUpdate	1	1	no	2	0x0011AB00 0x0011AB80
GloriousChargeUpdate	REGISTERED	GloriousChargeUpdate	1	1	no	2	0x0011C750 0x0011C7D0
GrabPassengerSpecialPower	REGISTERED	GrabPassengerSpecialPower	1	1	no	2	0x00120A30 0x00120AB0
GrantScienceUpgrade	ABSENT	GrantScienceUpgrade	0	0	yes	0	
GrantStealthBehavior	ABSENT	GrantStealthBehavior	0	0	yes	0	
GrantUpgradeCreate	REGISTERED	GrantUpgradeCreate	1	1	yes	2	0x0011E4E0 0x0011E560
HackInternetAIUpdate	ABSENT	HackInternetAIUpdate	0	0	yes	0	
HealContain	REGISTERED	HealContain	1	1	yes	2	0x00115B40 0x001219D0
HealCrateCollide	REGISTERED	HealCrateCollide	1	1	yes	2	0x0011EDC0 0x0011EE50
HeightDieUpdate	REGISTERED	HeightDieUpdate	1	1	yes	2	0x00118A20 0x00118AA0
HelicopterSlowDeathBehavior	ABSENT	HelicopterSlowDeathBehavior	0	0	yes	0	
HelixContain	ABSENT	HelixContain	0	0	yes	0	
HeroDie	REGISTERED	HeroDie	1	1	no	2	0x0011FCF0 0x00124950
HeroModeSpecialAbilityUpdate	REGISTERED	HeroModeSpecialAbilityUpdate	1	1	no	2	0x00119130 0x001191B0
HighlanderBody	REGISTERED	HighlanderBody	1	1	yes	1	0x0011F4B0
HijackerUpdate	REGISTERED	HijackerUpdate	1	1	yes	2	0x0011B4F0 0x00126D50
HitReactionBehavior	REGISTERED	HitReactionBehavior	1	1	no	2	0x00114BE0 0x0011D000
HiveStructureBody	ABSENT	HiveStructureBody	0	0	yes	1	0x001145D0
HiveStructureBodyModuleData	ABSENT	HiveStructureBody	0	0	yes	1	0x00248F00
HordeAIUpdate	REGISTERED	HordeAIUpdate	1	1	no	1	0x00123FB0
HordeContain	REGISTERED	HordeContain	17	4	no	2	0x00115BC0 0x00115D60
HordeGarrisonContain	REGISTERED	HordeGarrisonContain	1	1	no	2	0x00115FB0 0x001160C0
HordeMemberCollide	REGISTERED	HordeMemberCollide	1	1	no	2	0x0011ED40 0x00124890
HordeSiegeEngineContain	REGISTERED	HordeSiegeEngineContain	2	1	no	2	0x00116360 0x001163F0
HordeTransportContain	REGISTERED	HordeTransportContain	2	1	no	1	0x00115F30
HordeUpdate	ABSENT	HordeUpdate	0	0	yes	0	
HorseHordeContain	REGISTERED	HorseHordeContain	2	1	no	2	0x00115DE0 0x00115E70
ImmortalBody	REGISTERED	ImmortalBody	1	1	yes	1	0x0011F530
InactiveBody	REGISTERED	InactiveBody	2	2	yes	2	0x00113BE0 0x0011F320
InstantDeathBehavior	REGISTERED	InstantDeathBehavior	2	1	yes	2	0x00115360 0x001153E0
InternetHackContain	ABSENT	InternetHackContain	0	0	yes	0	
JetAIUpdate	ABSENT	JetAIUpdate	0	0	yes	0	
JetSlowDeathBehavior	ABSENT	JetSlowDeathBehavior	0	0	yes	0	
KeepObjectDie	REGISTERED	KeepObjectDie	1	1	yes	2	0x00117BC0 0x00125340
LargeGroupAudioUpdate	REGISTERED	LargeGroupAudioUpdate	2	1	no	2	0x0011C200 0x0011C280
LargeGroupBonusUpdate	REGISTERED	LargeGroupBonusUpdate	2	1	no	2	0x00118B30 0x00118BB0
LaserUpdate	REGISTERED	LaserUpdate	1	1	yes	2	0x00118D70 0x00118DF0
LeafletDropBehavior	ABSENT	LeafletDropBehavior	0	0	yes	0	
LevelGrantSpecialPower	REGISTERED	LevelGrantSpecialPower	1	1	no	2	0x0011FF90 0x00120010
LevelUpUpgrade	REGISTERED	LevelUpUpgrade	1	1	no	2	0x0011D320 0x0012B320
LifetimeUpdate	REGISTERED	LifetimeUpdate	2	1	yes	2	0x0011A2D0 0x0011A350
LockWeaponCreate	REGISTERED	LockWeaponCreate	1	1	yes	2	0x0011E2D0 0x0011E350
LocomotorSetUpgrade	REGISTERED	LocomotorSetUpgrade	1	1	yes	2	0x0011D3A0 0x0012B430
ManTheWallsSpecialPower	REGISTERED	ManTheWallsSpecialPower	1	1	no	2	0x001211E0 0x00121260
MaxHealthUpgrade	REGISTERED	MaxHealthUpgrade	1	1	yes	2	0x0011DC00 0x0011DC80
MinefieldBehavior	ABSENT	MinefieldBehavior	0	0	yes	1	0x001145D0
MissileAIUpdate	ABSENT	MissileAIUpdate	0	0	yes	1	0x0011F9C0
MissileLauncherBuildingUpdate	ABSENT	MissileLauncherBuildingUpdate	0	0	yes	1	0x00117420
MobMemberSlavedUpdate	ABSENT	MobMemberSlavedUpdate	0	0	yes	0	
MobNexusContain	ABSENT	MobNexusContain	0	0	yes	0	
ModelConditionSoundSelectorClientBehavior	REGISTERED	ModelConditionSoundSelectorClientBehavior	1	1	no	2	0x00121E30 0x00126190
ModelConditionSpecialAbilityUpdate	REGISTERED	ModelConditionSpecialAbilityUpdate	1	1	no	2	0x00118FF0 0x00119070
ModelConditionUpgrade	REGISTERED	ModelConditionUpgrade	1	1	yes	2	0x0011DD10 0x0011DD90
ModuleFactory	UNREGISTERED_NAMED	ModuleFactory	2	2	no	6	0x0005C5D0 0x00126260 0x00127DA0 0x00127E00 0x00129100 0x001295F0
MoneyCrateCollide	REGISTERED	MoneyCrateCollide	1	1	yes	2	0x0011EF00 0x00127020
MonsterDockUpdate	REGISTERED	MonsterDockUpdate	1	1	no	2	0x0011B160 0x0011B1E0
NeutronBlastBehavior	ABSENT	NeutronBlastBehavior	0	0	yes	0	
NeutronMissileSlowDeathBehavior	ABSENT	NeutronMissileSlowDeathBehavior	0	0	yes	0	
NeutronMissileUpdate	ABSENT	NeutronMissileUpdate	0	0	yes	0	
OCLSpecialPower	REGISTERED	OCLSpecialPower	1	1	yes	2	0x001201B0 0x00120230
OCLUpdate	REGISTERED	OCLUpdate	2	1	yes	2	0x0011A7C0 0x0011A840
OathbreakerBody	REGISTERED	OathbreakerBody	1	1	no	1	0x0011FB60
OathbreakersFadeAwayBehavior	REGISTERED	OathbreakersFadeAwayBehavior	1	1	no	2	0x0011E250 0x00125D70
ObjectCreationUpgrade	REGISTERED	ObjectCreationUpgrade	1	1	yes	2	0x0011D420 0x0011D4A0
OneRingPenaltyUpdate	REGISTERED	OneRingPenaltyUpdate	2	1	no	2	0x0011A3E0 0x0011A460
OpenContain	REGISTERED	OpenContain	2	1	yes	2	0x00115960 0x001159E0
OverchargeBehavior	ABSENT	OverchargeBehavior	0	0	yes	0	
OverlordContain	ABSENT	OverlordContain	0	0	yes	0	
POWTruckAIUpdate	ABSENT	POWTruckAIUpdate	0	0	yes	0	
POWTruckBehavior	ABSENT	POWTruckBehavior	0	0	yes	0	
ParachuteContain	ABSENT	ParachuteContain	0	0	yes	0	
ParkingPlaceBehavior	ABSENT	ParkingPlaceBehavior	0	0	yes	0	
PartTheHeavensUpdate	REGISTERED	PartTheHeavensUpdate	1	1	no	2	0x0011C530 0x0011C5B0
ParticleUplinkCannonUpdate	ABSENT	ParticleUplinkCannonUpdate	0	0	yes	1	0x0011CC80
PassengersFireUpgrade	ABSENT	PassengersFireUpgrade	0	0	yes	0	
PassiveAreaEffectBehavior	REGISTERED	PassiveAreaEffectBehavior	1	1	no	2	0x001175D0 0x00117650
PhysicsBehavior	REGISTERED	PhysicsBehavior	1	1	yes	2	0x0011A9F0 0x0011AA70
PilotFindVehicleUpdate	ABSENT	PilotFindVehicleUpdate	0	0	yes	0	
PlayerHealSpecialPower	REGISTERED	PlayerHealSpecialPower	1	1	no	2	0x00121400 0x00121480
PlayerUpgradeSpecialPower	REGISTERED	PlayerUpgradeSpecialPower	1	1	no	2	0x001212F0 0x00121370
PointDefenseLaserUpdate	ABSENT	PointDefenseLaserUpdate	0	0	yes	1	0x00113FB0
PoisonedBehavior	REGISTERED	PoisonedBehavior	1	1	yes	2	0x00117050 0x001170D0
PorcupineFormationBodyModule	REGISTERED	PorcupineFormationBodyModule	1	1	no	2	0x0011FBE0 0x0011FC60
PowerPlantUpdate	ABSENT	PowerPlantUpdate	0	0	yes	1	0x00114B50
PowerPlantUpgrade	ABSENT	PowerPlantUpgrade	0	0	yes	0	
PreorderCreate	REGISTERED	PreorderCreate	1	1	yes	1	0x0011E700
PrisonBehavior	ABSENT	PrisonBehavior	0	0	yes	0	
PrisonDockUpdate	ABSENT	PrisonDockUpdate	0	0	yes	0	
ProductionSpeedBonus	REGISTERED	ProductionSpeedBonus	2	1	no	2	0x001200A0 0x00120120
ProductionUpdate	REGISTERED	ProductionUpdate	1	1	yes	2	0x0011AC10 0x0011AC90
ProjectileStreamUpdate	ABSENT	ProjectileStreamUpdate	0	0	yes	0	
ProneUpdate	REGISTERED	ProneUpdate	1	1	yes	2	0x0011AD30 0x0011ADB0
PropagandaCenterBehavior	ABSENT	PropagandaCenterBehavior	0	0	yes	0	
PropagandaTowerBehavior	REGISTERED	PropagandaTowerBehavior	1	1	yes	2	0x00116E10 0x0011CB70
QueueProductionExitUpdate	REGISTERED	QueueProductionExitUpdate	1	1	yes	2	0x001156B0 0x001241B0
RadarUpdate	REGISTERED	RadarUpdate	1	1	yes	2	0x0011AEC0 0x00124240
RadarUpgrade	REGISTERED	RadarUpgrade	1	1	yes	2	0x0011D540 0x0012B530
RadiusDecalUpdate	REGISTERED	RadiusDecalUpdate	1	1	yes	2	0x0011A580 0x00123E50
RailedTransportAIUpdate	ABSENT	RailedTransportAIUpdate	0	0	yes	1	0x001145D0
RailedTransportContain	ABSENT	RailedTransportContain	0	0	yes	0	
RailedTransportDockUpdate	UNREGISTERED_NAMED	RailedTransportDockUpdate	1	1	yes	1	0x00118AA0
RailroadBehavior	ABSENT	RailroadBehavior	0	0	yes	0	
RainOfFireUpdate	REGISTERED	RainOfFireUpdate	2	1	no	2	0x0011C310 0x0011C390
RampageBehavior	REGISTERED	RampageBehavior	1	1	no	1	0x001149C0
RandomSoundSelectorClientBehavior	REGISTERED	RandomSoundSelectorClientBehavior	2	1	no	2	0x00122040 0x0012BE60
RebuildHoleBehavior	ABSENT	RebuildHoleBehavior	0	0	yes	0	
RebuildHoleExposeDie	ABSENT	RebuildHoleExposeDie	0	0	yes	1	0x001145D0
ReflectDamage	REGISTERED	ReflectDamage	2	1	no	2	0x0011E900 0x0011E980
RefundDie	REGISTERED	RefundDie	1	1	no	2	0x001176E0 0x001232C0
RepairDockUpdate	REGISTERED	RepairDockUpdate	1	1	yes	2	0x0011B050 0x0011B0D0
RepairSpecialPower	REGISTERED	RepairSpecialPower	1	1	no	2	0x00121730 0x001217B0
ReplaceObjectUpgrade	ABSENT	ReplaceObjectUpgrade	0	0	yes	0	
ReplenishUnitsBehavior	REGISTERED	ReplenishUnitsBehavior	2	1	no	1	0x001173A0
RespawnBody	REGISTERED	RespawnBody	1	1	no	2	0x0011F720 0x0011F7A0
RespawnUpdate	REGISTERED	RespawnUpdate	21	1	no	1	0x0011CC00
RiderChangeContain	REGISTERED	RiderChangeContain	1	1	yes	2	0x001166D0 0x001195C0
RousingSpeechUpdate	REGISTERED	RousingSpeechUpdate	1	1	no	2	0x0011C640 0x0011C6C0
RubbleRiseUpdate	REGISTERED	RubbleRiseUpdate	2	1	no	2	0x0011B6C0 0x00127BD0
RunOffMapBehavior	REGISTERED	RunOffMapBehavior	1	1	no	2	0x001158E0 0x001267E0
SabotageCommandCenterCrateCollide	ABSENT	SabotageCommandCenterCrateCollide	0	0	yes	0	
SabotageFakeBuildingCrateCollide	ABSENT	SabotageFakeBuildingCrateCollide	0	0	yes	0	
SabotageInternetCenterCrateCollide	ABSENT	SabotageInternetCenterCrateCollide	0	0	yes	0	
SabotageMilitaryFactoryCrateCollide	ABSENT	SabotageMilitaryFactoryCrateCollide	0	0	yes	1	0x0012B650
SabotagePowerPlantCrateCollide	ABSENT	SabotagePowerPlantCrateCollide	0	0	yes	0	
SabotageSuperweaponCrateCollide	ABSENT	SabotageSuperweaponCrateCollide	0	0	yes	0	
SabotageSupplyCenterCrateCollide	ABSENT	SabotageSupplyCenterCrateCollide	0	0	yes	0	
SabotageSupplyDropzoneCrateCollide	ABSENT	SabotageSupplyDropzoneCrateCollide	0	0	yes	0	
SalvageCrateCollide	REGISTERED	SalvageCrateCollide	2	1	yes	1	0x0011F190
ScavengerSpecialPower	REGISTERED	ScavengerSpecialPower	1	1	no	2	0x001204E0 0x00120560
ShareExperienceBehavior	REGISTERED	ShareExperienceBehavior	2	1	no	2	0x00116BF0 0x00116C70
ShroudCrateCollide	REGISTERED	ShroudCrateCollide	1	1	yes	2	0x0011EDC0 0x0011EF80
SiegeAIUpdate	REGISTERED	SiegeAIUpdate	1	1	no	2	0x00118C40 0x00118CC0
SiegeDeployHordeSpecialPower	REGISTERED	SiegeDeployHordeSpecialPower	1	1	no	2	0x00120D70 0x00120DF0
SiegeDeploySpecialPower	REGISTERED	SiegeDeploySpecialPower	1	1	no	2	0x00120C60 0x00120CE0
SiegeDockingBehavior	REGISTERED	SiegeDockingBehavior	1	1	no	2	0x00114E00 0x00114E80
SiegeEngineContain	REGISTERED	SiegeEngineContain	4	2	no	2	0x00115CD0 0x001162E0
SlaughterHordeContain	REGISTERED	SlaughterHordeContain	2	1	no	2	0x00116750 0x00116D00
SlaveWatcherBehavior	REGISTERED	SlaveWatcherBehavior	1	1	no	2	0x001174C0 0x00117540
SlavedUpdate	REGISTERED	SlavedUpdate	2	1	yes	2	0x0011B270 0x00125A60
SlowDeathBehavior	REGISTERED	SlowDeathBehavior	4	3	yes	2	0x00115470 0x001154F0
SmartBombTargetHomingUpdate	ABSENT	SmartBombTargetHomingUpdate	0	0	yes	1	0x00113FB0
SpawnBehavior	REGISTERED	SpawnBehavior	1	1	yes	2	0x00115590 0x0012AAC0
SpawnPointProductionExitUpdate	REGISTERED	SpawnPointProductionExitUpdate	1	1	yes	2	0x0011B470 0x00126C70
SpawnUnitBehavior	REGISTERED	SpawnUnitBehavior	1	1	no	2	0x0011E1D0 0x00125D70
SpecialAbility	SUBSTRING	SpecialAbility	13	0	yes	0	
SpecialAbilityUpdate	REGISTERED	SpecialAbilityUpdate	10	7	yes	2	0x001140C0 0x00114140
